[2020.03.21 17:46:13:319] EVENT,set iswsptrt30 to 4 autotransportdetect=no usetunneling=0 {1} [3091]
[2020.03.21 18:03:56:922] EVENT,set iswsptrt30 to 4 autotransportdetect=no usetunneling=0 {1} [4739]
[2020.03.21 18:03:57:040] EVENT, upper server set9 to    {1} [4739]
[2020.03.21 18:03:57:105] EVENT,common initialized {1} [4739]
[2020.03.21 18:03:57:304] EVENT,common initialized1 [wpmain] {1} [4739]
[2020.03.21 18:03:57:304] EVENT,apicall API_SetParameter loglevel,5 [wpmain] {1} [4739]
[2020.03.21 18:03:57:305] EVENT,read config file C:\TakePart Projekt\Registration\demo(1)\demo\mwphonedata\u88wpcfgex.dat (2619) {1} [4739]
[2020.03.21 18:03:57:306] EVENT, configex load finished 113 {1} [4739]
[2020.03.21 18:03:57:307] EVENT,      set parameter (from 6) loglevel=5 {1} [4739]
[2020.03.21 18:03:57:307] EVENT,param loglevel set to 5 [wpmain] {1} [4739]
[2020.03.21 18:03:57:308] EVENT,apicall API_SetParameter logtoconsole,true [wpmain] {1} [4739]
[2020.03.21 18:03:57:309] EVENT,      set parameter (from 6) logtoconsole=true {1} [4739]
[2020.03.21 18:03:57:316] EVENT,async task start MATASK_COMMONINIT2 (false/0//) {20} [4739]
[2020.03.21 18:03:57:317] EVENT,serveraddrlst2: a (170):  b:  c:  d:  e:  f:  g:  h:  i:  j:  {20} [4739]
[2020.03.21 18:03:57:318] EVENT,param logtoconsole set to true [wpmain] {1} [4739]
[2020.03.21 18:03:57:321] EVENT,apicall API_SetParameter polling,3 [wpmain] {1} [4739]
[2020.03.21 18:03:57:323] EVENT,      set parameter (from 6) polling=3 {1} [4739]
[2020.03.21 18:03:57:324] EVENT,param polling set to 3 [wpmain] {1} [4739]
[2020.03.21 18:03:57:338] EVENT,apicall API_SetParameter startsipstack,1 [wpmain] {1} [4739]
[2020.03.21 18:03:57:862] EVENT,      set parameter (from 6) startsipstack=1 {1} [4739]
[2020.03.21 18:03:57:951] EVENT,param startsipstack set to 1 [wpmain] {1} [4739]
[2020.03.21 18:03:57:961] EVENT,apicall API_SetParameter register,1 [wpmain] {1} [4739]
[2020.03.21 18:03:57:963] EVENT,      set parameter (from 6) register=1 {1} [4739]
[2020.03.21 18:03:58:099] EVENT, register parameter should not be set at runtime {1} [4739]
[2020.03.21 18:03:58:482] EVENT,param register set to 1 [wpmain] {1} [4739]
[2020.03.21 18:03:58:487] EVENT,apicall API_SetParameter serveraddress,sipgate.de [wpmain] {1} [4739]
[2020.03.21 18:03:58:517] EVENT,      set parameter (from 6) serveraddress=sipgate.de {1} [4739]
[2020.03.21 18:03:58:526] EVENT,serveraddrlst12: a (102):  b: sipgate.de c:  d:  e:  f:  g:  h:  i:  j:  {20} [4739]
[2020.03.21 18:03:58:529] EVENT,check ip for sipgate.de from 6102 {20} [4739]
[2020.03.21 18:03:58:533] EVENT,force check ip for sipgate.de fromcode: 6102 {20} [4739]
[2020.03.21 18:03:58:536] EVENT,      get parameter (from 10014) dnscache_ip0=159.69.64.138 {20} [4739]
[2020.03.21 18:03:58:538] EVENT,      get parameter (from 10014) dnscache_ip1=159.69.64.138 {20} [4739]
[2020.03.21 18:03:58:541] EVENT,      get parameter (from 10014) dnscache_ip2=148.251.28.180 {20} [4739]
[2020.03.21 18:03:58:553] EVENT,      get parameter (from 10014) dnscache_ip3=148.251.28.180 {20} [4739]
[2020.03.21 18:03:58:557] EVENT,      get parameter (from 10014) dnscache_ip4=148.251.28.179 {20} [4739]
[2020.03.21 18:03:58:563] EVENT,      get parameter (from 10014) dnscache_ip5=148.251.28.179 {20} [4739]
[2020.03.21 18:03:58:567] EVENT, srv dns record request for sipgate.de fromcode: 6102 {20} [4739]
[2020.03.21 18:03:58:578] EVENT,async task start MATASK_DNSLOOKUP_SRV (false/6102/sipgate.de/forced) {23} [4739]
[2020.03.21 18:03:58:663] EVENT,param serveraddress set to sipgate.de [wpmain] {1} [4739]
[2020.03.21 18:03:58:678] EVENT,apicall API_SetParameter username,2913957e0 [wpmain] {1} [4739]
